tbl_id;col_id;col_Name;datatype;len;requerido
1;1;Id_cliente;int;64;1
1;2;nombre;char;25;1
1;3;apellido;char;25;1
1;4;telefono;char;15;1
1;5;id_reserva;int;64;1
2;6;id_reserva;int;64;1
2;7;MesaReservadas;int;64;1
2;8;HoraReserva;date;15;1
2;9;Id_cliente;int;64;1
3;10;Id_mesa;int;64;1
3;11;Mesa;int;64;1
3;12;id_reserva;int;64;1
4;13;id_orden;int;64;1
4;14;orden;int;64;1
4;15;id_empleado;int;64;1
4;16;id_mesa;int;64;1
4;17;id_menu;int;64;1
5;18;id_menu;int;64;1
5;19;nombre;char;100;1
5;20;precio;float;10;1
6;21;id_factura;int;64;1
6;22;FormaPago;char;30;1
6;23;Id_cliente;int;64;1
6;24;id_orden;int;64;1
7;25;id_empleado;int;64;1
7;26;nombres;char;100;1
7;27;apellidos;char;100;1
7;28;fechaNacimiento;date;30;1
7;29;direccion;char;100;1
7;30;telefono;char;15;1
7;31;cargo;char;20;1
8;32;id_Cuenta;int;64;1
8;33;ventasDiarias;double;15;1
8;34;comprasDiarias;double;15;1
8;35;id_factura;int;64;1
8;36;id_compras;int;64;1
9;37;id_compras;int;64;1
9;38;fecha;date;15;1
9;39;proveedor;char;100;1
9;40;id_Producto;int;64;1
10;41;id_Producto;int;64;1
10;42;nombre;char;100;1
10;43;proveedor;char;100;1
10;44;precio;double;15;1
11;45;id_existencia;int;64;1
11;46;existencia;int;64;1
11;47;fechaVencimiento;date;15;1
11;48;id_Producto;int;64;1
